gvkey,tic,conm,fyear,sale,cogs,xsga,oiadp,ni,at
062921,NBIX,NEUROCRINE BIOSCIENCES INC,2024,2355.3,1731.2,,597.0,341.3,3718.7
111486,GIL,GILDAN ACTIVEWEAR INC,2024,3270.59,2128.709,308.069,695.61,400.865,3715.122
010453,TER,TERADYNE INC,2024,2819.88,1066.376,1086.046,547.717,542.372,3708.714
031424,CYD,CHINA YUCHAI INTERNATIONAL,2024,2621.316,2137.296,383.217,2.92,44.259,3705.612
122172,ZD,ZIFF DAVIS INC,2024,1401.688,950.657,,239.115,63.047,3704.334
330888,HAFN,HAFNIA LTD,2024,2868.647,1803.905,107.619,742.012,774.035,3702.29
020126,WMS,ADVANCED DRAINAGE SYSTEMS,2024,2904.245,1679.808,370.267,672.845,450.172,3690.36
006649,LEG,LEGGETT & PLATT INC,2024,4383.6,3508.9,488.9,251.4,-511.5,3661.6
008199,OTTR,OTTER TAIL CORP,2024,1330.548,843.177,,380.25,301.662,3652.082
011376,WST,WEST PHARMACEUTICAL SVSC INC,2024,2893.2,1739.3,403.0,595.5,492.7,3643.4
017934,SFM,SPROUTS FARMERS MARKET,2024,7719.29,4771.347,2304.246,504.497,380.601,3640.699
037752,PLTK,PLAYTIKA HOLDING CORP,2024,2549.3,526.4,1372.3,484.9,162.2,3639.2
030536,GEO,GEO GROUP INC,2024,2423.702,1774.479,210.968,312.035,31.966,3632.08
037079,GBTG,GLOBAL BUSINESS TRAVL GP INC,2024,2423.0,967.0,1077.0,201.0,-138.0,3624.0
160888,MPWR,MONOLITHIC POWER SYSTEMS INC,2024,2207.1,949.932,680.98,539.758,1786.7,3617.097
125604,PLUG,PLUG POWER INC,2024,628.814,1169.145,453.336,-1078.223,-2104.701,3602.846
062823,FCN,FTI CONSULTING INC,2024,3698.652,2472.816,822.151,355.592,280.088,3596.83
127377,BGC,BGC GROUP INC,2024,2262.818,2004.317,,175.63,126.988,3591.967
010618,TTC,TORO CO,2024,4583.8,2900.6,994.5,560.5,418.9,3582.8
043026,FTRE,FORTREA HOLDINGS INC,2024,2700.2,2162.2,430.7,22.0,-328.5,3579.2
002986,CPK,CHESAPEAKE UTILITIES CORP,2024,787.2,489.3,,232.2,118.6,3577.0
029015,DECK,DECKERS OUTDOOR CORP,2024,4985.612,2099.022,1638.145,1179.092,966.091,3570.252
025536,CENTA,CENTRAL GARDEN & PET CO,2024,3200.46,2183.669,703.165,222.819,107.983,3553.439
160373,MORN,MORNINGSTAR INC,2024,2275.1,896.2,759.7,429.3,369.9,3548.9
187118,NBIS,NEBIUS GROUP N V,2024,117.5,73.4,407.5,-440.7,-641.4,3548.6
003946,DBD,DIEBOLD NIXDORF INC,2024,3752.8,2672.2,642.8,305.5,-16.5,3543.5
102696,LOGI,LOGITECH INTERNATIONAL SA,2024,4554.9,2523.081,1287.436,664.621,631.529,3538.504
026167,BWIN,BALDWIN INSURANCE GROUP INC,2024,1389.037,1032.048,192.366,55.699,-24.518,3534.731
003964,DDS,DILLARDS INC  -CL A,2024,6590.231,3919.549,1752.653,740.162,593.476,3531.054
006737,LECO,LINCOLN ELECTRIC HLDGS INC,2024,4008.67,2442.494,773.548,704.39,466.108,3520.142
024249,TDOC,TELADOC HEALTH INC,2024,2569.574,751.27,1653.544,-208.788,-1001.245,3516.524
183603,DBRG,DIGITALBRIDGE GROUP INC,2024,607.028,326.471,114.985,131.866,70.522,3513.318
036600,PCVX,VAXCYTE INC,2024,0.0,0.0,562.543,-569.546,-463.927,3511.318
035490,CTOS,CUSTOM TRUCK ONE SOURCE INC,2024,1802.28,1228.557,229.544,120.781,-28.655,3501.967
018888,AMRX,AMNEAL PHARMACEUTICALS INC,2024,2793.957,1532.745,672.995,347.443,-116.886,3501.445
005862,RYN,RAYONIER INC,2024,1262.997,644.584,74.421,403.743,359.147,3474.419
139804,TTMI,TTM TECHNOLOGIES INC,2024,2442.753,1850.803,281.982,159.843,56.299,3472.494
122380,LII,LENNOX INTERNATIONAL INC,2024,5341.3,3474.3,730.6,1041.3,806.9,3471.8
101973,TRMD,TORM PLC,2024,1559.2,663.6,95.6,608.0,612.5,3469.6
021540,W,WAYFAIR INC,2024,11851.0,7890.0,3919.0,-345.0,-492.0,3459.0
020823,HQY,HEALTHEQUITY INC,2024,1199.774,371.942,462.512,202.869,96.703,3448.55
016453,NEOG,NEOGEN CORP,2024,894.661,342.602,413.635,18.941,-1092.044,3443.836
019582,CTRE,CARETRUST REIT INC,2024,296.286,112.608,35.149,148.529,125.08,3437.016
032526,MDB,MONGODB INC,2024,2006.443,522.734,1684.048,-216.064,-129.072,3430.293
025749,EFOR,EVERFORTH INC,2024,4099.7,2914.0,781.7,313.4,175.2,3429.0
035543,OPCH,OPTION CARE HEALTH INC,2024,4998.202,3982.625,630.251,321.833,211.823,3421.743
323308,BORR,BORR DRILLING LTD,2024,1010.6,456.4,49.2,373.8,82.1,3419.6
041716,RXO,RXO INC,2024,4550.0,3767.0,666.0,30.0,-290.0,3414.0
180466,JBTM,JBT MAREL CORP,2024,1716.0,1000.1,420.8,205.7,85.4,3413.8
029133,ITRI,ITRON INC,2024,2440.837,1563.071,553.38,268.109,239.105,3407.623
162335,PBH,PRESTIGE CONSUMER HEALTHCARE,2024,1137.762,494.416,263.932,349.241,214.605,3402.218
004809,FLO,FLOWERS FOODS INC,2024,5103.487,2577.222,1992.265,374.792,248.116,3400.447
037076,BSY,BENTLEY SYSTEMS INC,2024,1353.095,230.26,749.253,313.219,234.787,3399.807
008606,PBI,PITNEY BOWES INC,2024,2026.598,849.813,732.741,329.559,-203.597,3397.516
025870,MTX,MINERALS TECHNOLOGIES INC,2024,2118.5,1477.6,232.2,315.5,167.1,3393.9
009273,RGLD,ROYAL GOLD INC,2024,719.395,104.136,40.934,429.899,332.023,3392.13
033637,BV,BRIGHTVIEW HOLDINGS,2024,2767.1,2013.1,452.4,157.4,66.4,3391.8
016486,BCC,BOISE CASCADE CO,2024,6724.294,5393.607,697.244,489.33,376.354,3369.383
061420,POOL,POOL CORP,2024,5310.953,3690.984,958.143,617.204,434.325,3368.184
011854,NMIH,NMI HOLDINGS INC,2024,650.971,138.728,,500.307,360.106,3349.973
021002,CYBR,CYBERARK SOFTWARE LTD,2024,1000.742,173.495,836.268,-51.004,-93.461,3348.395
011094,VMI,VALMONT INDUSTRIES INC,2024,4075.034,2738.427,716.628,524.584,348.259,3329.972
037793,DFH,DREAM FINDERS HOMES INC,2024,4451.606,3581.256,427.291,432.832,335.341,3328.651
028940,BDC,BELDEN INC,2024,2460.979,1467.152,584.048,294.038,198.433,3327.938
033152,DBX,DROPBOX INC,2024,2548.2,318.3,1537.6,555.2,452.3,3325.2
316726,BWLP,BW LPG LTD,2024,3563.747,2880.427,71.134,410.005,354.296,3320.42
022459,UE,URBAN EDGE PROPERTIES,2024,447.633,310.985,37.474,99.174,72.563,3311.54
035604,NET,CLOUDFLARE INC,2024,1669.626,257.718,1428.32,-139.059,-78.8,3301.162
063643,ANF,ABERCROMBIE & FITCH  -CL A,2024,4948.587,1773.926,2286.7,734.188,566.223,3299.887
063596,WLFC,WILLIS LEASE FINANCE CORP,2024,557.54,213.624,,248.707,108.612,3297.196
030284,LBRT,LIBERTY ENERGY INC,2024,4315.161,3200.506,225.474,384.131,316.01,3296.394
024197,IDXX,IDEXX LABS INC,2024,3897.504,1388.668,1189.09,1189.837,887.867,3293.443
002787,CRS,CARPENTER TECHNOLOGY CORP,2024,2759.7,2040.8,230.2,354.1,186.5,3291.7
015343,MLI,MUELLER INDUSTRIES,2024,3768.766,2724.328,223.996,767.309,604.879,3290.906
013071,RDNT,RADNET INC,2024,1829.664,1278.409,300.166,113.251,2.793,3286.69
185549,AAT,AMERICAN ASSETS TRUST INC,2024,466.886,293.188,35.468,138.23,57.585,3273.365
030032,EXP,EAGLE MATERIALS INC,2024,2260.508,1428.469,73.942,599.195,463.416,3264.588
187450,ENPH,ENPHASE ENERGY INC,2024,1330.383,634.711,531.152,90.446,102.658,3249.676
009771,AOS,SMITH (A.O.),2024,3818.1,2283.2,739.3,716.8,533.6,3240.0
065772,MTD,METTLER-TOLEDO INTL INC,2024,3872.361,1496.595,1125.66,1127.054,863.14,3239.999
065702,CWST,CASELLA WASTE SYS INC  -CL A,2024,1557.283,1005.972,190.754,104.286,13.536,3230.068
020661,VVX,V2X INC,2024,4322.155,3867.625,147.634,195.328,34.684,3228.843
002269,HRB,BLOCK H & R INC,2024,3610.347,1869.782,813.504,805.277,595.317,3218.81
041996,NXT,NEXTPOWER INC,2024,2959.197,1939.744,361.596,644.45,509.168,3192.516
160376,TXRH,TEXAS ROADHOUSE INC,2024,5373.332,4426.076,252.58,516.519,433.592,3190.779
039378,CCC,CCC INTELLIGENT SOLUTIONS HL,2024,944.8,179.089,552.837,89.198,26.145,3183.218
147204,CCOI,COGENT COMMUNICATIONS HLDGS,2024,955.661,561.393,275.781,-188.231,-204.074,3173.102
160706,DRH,DIAMONDROCK HOSPITALITY CO,2024,1134.22,966.002,32.428,135.669,48.047,3172.251
150481,SAIA,SAIA INC,2024,3209.074,2512.332,,486.637,362.065,3166.857
018626,GLOB,GLOBANT SA,2024,2415.689,1516.288,513.268,223.402,165.732,3166.845
012945,PLXS,PLEXUS CORP,2024,3960.827,3505.635,185.478,193.052,111.815,3153.821
005252,GGG,GRACO INC,2024,2113.316,904.855,544.663,577.798,486.084,3139.212
004462,NEU,NEWMARKET CORP,2024,2786.558,1801.14,295.31,591.036,462.413,3129.541
037519,OPEN,OPENDOOR TECHNOLOGIES INC,2024,5153.0,4687.0,727.0,-298.0,-392.0,3126.0
186275,AGRO,ADECOAGRO SA,2024,1518.907,828.975,216.006,169.902,92.34,3114.888
037855,LUCK,LUCKY STRIKE ENTERTNMNT CORP,2024,1154.614,695.071,161.655,152.524,-83.581,3114.035
162354,DLB,DOLBY LABORATORIES INC,2024,1273.721,75.249,851.803,271.11,261.825,3109.928
061163,SHO,SUNSTONE HOTEL INVESTORS INC,2024,918.558,635.154,192.063,91.341,43.262,3106.639
038936,MCW,MISTER CAR WASH INC,2024,994.727,209.339,507.92,196.102,70.239,3101.796
030443,DMC,DEL MONTE CORP,2024,4280.2,3845.0,196.8,159.9,142.2,3096.2
177227,PODD,INSULET CORP,2024,2071.6,592.1,1089.8,308.9,418.3,3087.7
031255,TSEM,TOWER SEMICONDUCTOR LTD,2024,1436.122,830.401,154.398,185.044,207.864,3080.485
140073,ITGR,INTEGER HOLDINGS CORP,2024,1716.596,1191.978,192.8,224.685,119.896,3077.971
037338,SHC,SOTERA HEALTH CO,2024,1100.441,393.91,235.126,305.13,44.398,3071.648
025893,SITE,SITEONE LANDSCAPE SUPPLY INC,2024,4540.6,2973.4,1241.8,186.4,123.6,3070.8
024861,PLNT,PLANET FITNESS INC,2024,1181.654,566.638,124.946,329.724,172.042,3069.708
012266,WERN,WERNER ENTERPRISES INC,2024,3030.258,2684.157,,55.696,34.233,3052.237
025737,CAKE,CHEESECAKE FACTORY INC,2024,3581.699,3029.624,271.142,179.883,156.783,3041.76
021429,GVA,GRANITE CONSTRUCTION INC,2024,4007.574,3308.449,334.162,238.535,126.346,3025.655
031564,ACIW,ACI WORLDWIDE INC,2024,1594.288,791.783,373.808,322.135,203.118,3025.293
027014,ATKR,ATKORE INC,2024,3202.053,2058.707,397.544,624.784,472.872,3021.403
008386,PATK,PATRICK INDUSTRIES INC,2024,3715.683,2806.535,475.928,266.675,138.401,3020.954
035287,CHWY,CHEWY INC,2024,11861.335,8393.631,3240.56,112.587,392.738,3014.527
024040,IONS,IONIS PHARMACEUTICALS INC,2024,705.138,1170.605,,-475.081,-453.897,3003.675
038125,HAYW,HAYWARD HOLDINGS INC,2024,1051.606,490.488,286.706,218.551,118.655,2990.624
011017,UVV,UNIVERSAL CORP/VA,2024,2947.284,2338.854,305.287,243.37,95.047,2989.552
045458,GRAL,GRAIL INC,2024,125.595,45.561,649.729,-727.751,-2027.005,2983.307
030637,VRE,VERIS RESIDENTIAL INC,2024,277.374,193.298,38.513,45.563,-23.12,2982.727
005560,HL,HECLA MINING CO,2024,929.925,545.718,116.033,75.334,35.802,2981.06
105936,COLM,COLUMBIA SPORTSWEAR CO,2024,3392.144,1677.497,1387.962,270.741,223.273,2975.265
002101,AIT,APPLIED INDUSTRIAL TECH INC,2024,4479.406,3142.753,788.476,495.823,385.762,2951.91
133885,EXEL,EXELIXIS INC,2024,2168.701,47.413,1402.536,689.949,521.267,2947.69
004115,DY,DYCOM INDUSTRIES INC,2024,4702.014,3769.877,377.448,356.118,233.413,2945.367
037258,ZGN,ERMENEGILDO ZEGNA N V,2024,2015.388,656.338,948.531,177.829,79.805,2934.048
065084,CXW,CORECIVIC INC,2024,1961.646,1496.465,152.081,185.089,68.868,2931.891
041835,MBC,MASTERBRAND INC,2024,2700.4,1764.1,577.7,281.3,125.9,2929.8
